community_area,primary type,total_crimes,features,prediction
17,1542,1,[17.0],1
32,1544,1,[32.0],3
35,1590,1,[35.0],3
41,1544,1,[41.0],0
43,462,1,[43.0],0
4,275,1,[4.0],2
24,142B,10,[24.0],4
33,1581,5,[33.0],3
15,1531,1,[15.0],1
39,1720,1,[39.0],3
34,841,27,[34.0],3
5,1245,2,[5.0],2
33,1725,1,[33.0],3
26,4800,1,[26.0],4
7,2095,9,[7.0],2
18,842,8,[18.0],1
8,453,2,[8.0],2
2,1235,2,[2.0],2
20,1206,5,[20.0],1
28,895,2,[28.0],4
6,842,9,[6.0],2
35,1195,2,[35.0],3
11,142A,1,[11.0],1
17,2091,3,[17.0],1
24,1245,1,[24.0],4
2,2110,1,[2.0],2
44,2110,1,[44.0],0
24,1590,1,[24.0],4
27,2160,1,[27.0],4
32,938,1,[32.0],3
48,291,1,[48.0],0
21,1480,2,[21.0],4
33,3970,4,[33.0],3
19,1478,1,[19.0],1
37,4220,1,[37.0],3
14,1755,2,[14.0],1
34,4389,1,[34.0],3
27,1478,2,[27.0],4
44,895,1,[44.0],0
0,2021,3,[0.0],2
0,2825,236,[0.0],2
0,051B,7,[0.0],2
0,2028,3,[0.0],2
0,3960,8,[0.0],2
0,143C,5,[0.0],2
0,141C,24,[0.0],2
0,2860,5,[0.0],2
12,842,2,[12.0],1
8,142B,2,[8.0],2
20,842,6,[20.0],1
29,842,3,[29.0],4
4,461,1,[4.0],2
46,2830,1,[46.0],0
5,2012,1,[5.0],2
6,1564,1,[6.0],2
8,1512,1,[8.0],2
26,5130,2,[26.0],4
44,2860,1,[44.0],0
1,2020,1,[1.0],2
39,557,1,[39.0],3
17,2094,11,[17.0],1
32,1585,2,[32.0],3
30,2230,2,[30.0],4
6,2230,3,[6.0],2
10,841,16,[10.0],2
15,840,136,[15.0],1
27,841,26,[27.0],4
43,2025,2,[43.0],0
39,840,40,[39.0],3
1,842,2,[1.0],2
12,4810,1,[12.0],1
35,843,1,[35.0],3
31,4210,1,[31.0],3
5,843,2,[5.0],2
48,1565,1,[48.0],0
16,499,3,[16.0],1
36,843,1,[36.0],3
50,2026,1,[50.0],0
27,1900,1,[27.0],4
48,1241,1,[48.0],0
37,1576,1,[37.0],3
36,3800,1,[36.0],3
7,1581,5,[7.0],2
24,5132,1,[24.0],4
46,1536,1,[46.0],0
25,1480,1,[25.0],4
13,1335,3,[13.0],1
22,1055,1,[22.0],4
34,918,1,[34.0],3
46,3000,1,[46.0],0
0,1812,71,[0.0],2
0,2022,73,[0.0],2
0,1751,6,[0.0],2
0,484,3,[0.0],2
0,842,7,[0.0],2
0,1753,2,[0.0],2
30,841,34,[30.0],4
21,581,1,[21.0],4
36,1581,7,[36.0],3
23,1530,1,[23.0],4
33,2092,1,[33.0],3
26,1590,1,[26.0],4
31,2031,1,[31.0],3
1,1564,1,[1.0],2
37,1720,1,[37.0],3
4,2050,2,[4.0],2
20,841,19,[20.0],1
31,3800,1,[31.0],3
11,841,10,[11.0],1
35,2110,1,[35.0],3
12,2091,3,[12.0],1
22,3730,1,[22.0],4
32,935,3,[32.0],3
3,4510,1,[3.0],2
24,842,8,[24.0],4
44,2017,2,[44.0],0
12,274,1,[12.0],1
43,1720,1,[43.0],0
23,1670,1,[23.0],4
7,1564,1,[7.0],2
40,502T,1,[40.0],3
14,2090,1,[14.0],1
33,1755,2,[33.0],3
48,4220,1,[48.0],0
6,1680,1,[6.0],2
45,475,1,[45.0],0
37,583,1,[37.0],3
15,925,1,[15.0],1
0,041B,14,[0.0],2
0,3710,3,[0.0],2
0,325,12,[0.0],2
0,917,5,[0.0],2
0,1626,2,[0.0],2
9,1140,4,[9.0],2
0,2826,3,[0.0],2
0,1680,1,[0.0],2
31,275,1,[31.0],3
22,1241,1,[22.0],4
42,1050,1,[42.0],0
33,1754,20,[33.0],3
31,3730,1,[31.0],3
9,841,23,[9.0],2
8,840,156,[8.0],2
23,499,2,[23.0],4
43,841,7,[43.0],0
42,1507,1,[42.0],0
8,4510,3,[8.0],2
48,462,4,[48.0],0
40,1506,5,[40.0],3
46,2018,3,[46.0],0
12,502T,1,[12.0],1
36,1478,1,[36.0],3
42,2020,3,[42.0],0
28,1611,1,[28.0],4
36,5008,1,[36.0],3
46,2015,2,[46.0],0
30,1541,1,[30.0],4
28,2010,1,[28.0],4
24,499,1,[24.0],4
32,2091,2,[32.0],3
42,1754,1,[42.0],0
33,1205,1,[33.0],3
25,1185,1,[25.0],4
6,1230,1,[6.0],2
5,1478,1,[5.0],2
46,1478,6,[46.0],0
1,1479,1,[1.0],2
40,2210,1,[40.0],3
39,3710,1,[39.0],3
0,2027,481,[0.0],2
0,141B,2,[0.0],2
0,1020,25,[0.0],2
0,2014,46,[0.0],2
0,4310,2,[0.0],2
0,266,2,[0.0],2
0,2900,5,[0.0],2
0,486,2,[0.0],2
45,842,4,[45.0],0
26,1135,1,[26.0],4
2,1753,4,[2.0],2
0,890,1,[0.0],2
41,2023,1,[41.0],0
31,142A,1,[31.0],3
25,1791,1,[25.0],4
44,041B,1,[44.0],0
31,1151,1,[31.0],3
18,1581,5,[18.0],1
1,2014,3,[1.0],2
1,1753,9,[1.0],2
14,1840,2,[14.0],1
31,925,2,[31.0],3
46,1581,3,[46.0],0
23,450,1,[23.0],4
42,1581,6,[42.0],0
46,1585,3,[46.0],0
49,840,70,[49.0],0
40,2091,2,[40.0],3
41,841,10,[41.0],0
13,2900,2,[13.0],1
26,1541,1,[26.0],4
8,264,2,[8.0],2
11,1680,1,[11.0],1
31,1540,2,[31.0],3
41,2025,10,[41.0],0
1,2095,1,[1.0],2
17,1611,1,[17.0],1
21,1255,1,[21.0],4
20,1565,1,[20.0],1
28,925,1,[28.0],4
16,1581,2,[16.0],1
16,1240,1,[16.0],1
26,918,2,[26.0],4
4,551,1,[4.0],2
10,1261,1,[10.0],2
40,927,1,[40.0],3
7,262,2,[7.0],2
12,1479,1,[12.0],1
33,4388,1,[33.0],3
49,925,1,[49.0],0
28,3100,2,[28.0],4
33,1170,2,[33.0],3
0,265,6,[0.0],2
0,143A,100,[0.0],2
0,281,27,[0.0],2
0,2110,10,[0.0],2
22,1375,1,[22.0],4
17,840,171,[17.0],1
18,1205,1,[18.0],1
19,2091,1,[19.0],1
0,2050,1,[0.0],2
42,1530,1,[42.0],0
35,461,1,[35.0],3
0,2011,1,[0.0],2
4,1230,1,[4.0],2
15,927,1,[15.0],1
32,1506,28,[32.0],3
18,1206,6,[18.0],1
5,841,22,[5.0],2
32,110,2,[32.0],3
11,1540,4,[11.0],1
32,2220,1,[32.0],3
16,842,8,[16.0],1
8,843,3,[8.0],2
19,2028,2,[19.0],1
17,1850,1,[17.0],1
1,1030,1,[1.0],2
30,499,1,[30.0],4
17,1576,2,[17.0],1
23,1590,1,[23.0],4
50,264,1,[50.0],0
15,264,1,[15.0],1
28,4800,1,[28.0],4
43,2240,1,[43.0],0
14,552,1,[14.0],1
4,1480,1,[4.0],2
40,263,1,[40.0],3
45,142B,1,[45.0],0
40,1240,1,[40.0],3
36,1025,1,[36.0],3
26,452,1,[26.0],4
37,4210,1,[37.0],3
0,1340,37,[0.0],2
0,141A,6,[0.0],2
18,840,100,[18.0],1
24,1791,1,[24.0],4
30,842,6,[30.0],4
16,2095,15,[16.0],1
48,1090,1,[48.0],0
0,2030,1,[0.0],2
11,2840,1,[11.0],1
32,2018,1,[32.0],3
28,2019,1,[28.0],4
47,1460,1,[47.0],0
35,1240,1,[35.0],3
46,2050,1,[46.0],0
39,4388,1,[39.0],3
16,584,1,[16.0],1
24,1515,1,[24.0],4
45,841,13,[45.0],0
33,840,52,[33.0],3
15,1682,1,[15.0],1
14,843,2,[14.0],1
31,2830,2,[31.0],3
48,2111,1,[48.0],0
26,2091,5,[26.0],4
3,1520,1,[3.0],2
35,2026,1,[35.0],3
9,1581,7,[9.0],2
44,3750,1,[44.0],0
11,1565,1,[11.0],1
33,937,1,[33.0],3
40,3100,1,[40.0],3
48,843,1,[48.0],0
5,1581,4,[5.0],2
9,487,1,[9.0],2
38,4386,1,[38.0],3
45,550,1,[45.0],0
26,461,2,[26.0],4
48,5110,1,[48.0],0
46,918,1,[46.0],0
8,487,1,[8.0],2
0,810,1332,[0.0],2
4,1140,8,[4.0],2
0,330,29,[0.0],2
0,1440,1,[0.0],2
0,1754,2,[0.0],2
3,840,110,[3.0],2
13,840,63,[13.0],1
38,483,1,[38.0],3
33,2090,2,[33.0],3
32,2015,1,[32.0],3
4,462,2,[4.0],2
22,1581,4,[22.0],4
43,2021,1,[43.0],0
40,1030,1,[40.0],3
50,291,1,[50.0],0
17,2032,1,[17.0],1
46,1565,1,[46.0],0
11,1513,33,[11.0],1
11,1506,3,[11.0],1
25,841,11,[25.0],4
10,1241,1,[10.0],2
17,841,35,[17.0],1
15,842,6,[15.0],1
8,842,14,[8.0],2
2,843,3,[2.0],2
5,842,8,[5.0],2
48,461,1,[48.0],0
43,1505,1,[43.0],0
22,1205,1,[22.0],4
47,2012,2,[47.0],0
12,2025,3,[12.0],1
7,1370,1,[7.0],2
18,1240,1,[18.0],1
39,584,2,[39.0],3
37,938,1,[37.0],3
12,3920,1,[12.0],1
7,4389,1,[7.0],2
1,1240,1,[1.0],2
3,1435,1,[3.0],2
7,488,2,[7.0],2
39,1581,1,[39.0],3
39,1536,1,[39.0],3
0,915,60,[0.0],2
0,935,3,[0.0],2
0,1512,1,[0.0],2
44,840,60,[44.0],0
7,2094,1,[7.0],2
23,1525,3,[23.0],4
16,1140,3,[16.0],1
42,1564,1,[42.0],0
25,1370,2,[25.0],4
22,1235,1,[22.0],4
25,1580,1,[25.0],4
30,483,1,[30.0],4
39,1200,1,[39.0],3
27,142A,2,[27.0],4
